"Match Number","Team Number","Is the robot on the field?","Leave","Auto algae remove","Auto Algae Missed","Auto Processor Scored","Auto Net Scored","Auto L4 Coral","Auto L3 Coral","Auto L2 Coral","Auto L1 Coral","Auto Coral Missed","Did this team remove algae?","Algae Missed","Processor scored","Net scored","L4 Coral","L3 Coral","L2 Coral","L1 Coral","Coral Missed","Climb Status","Did this robot defend?","Did the robot break?","Did the bot seem like it performed at its peak capacity?",""
62,7034,"Y","Y","N","","","",2,"","","",1,"N","","","",4,4,2,"",1,"Deep Climb","Not at all","",3,""
62,2557,"Y","Y","N","","",2,"","","","","","N","",2,5,"","","",7,"","No Climb","Not at all","",5,""
62,4512,"Y","Y","N","","","",3,"","","","","Y","","","",4,3,7,"",1,"No Climb","Not at all","",5,""
61,3674,"Y","Y","N","","","","","","","","","N","","","",1,5,5,0,2,"Deep Climb","Not at all","",5,""
56,2412,"Y","Y","N","","","",1,"","","","","Y","",1,"",5,1,1,"","","No Climb","Not at all","Minor Break",5,""
55,6696,"Y","Y","N","","","",2,"","","","","Y","","",3,5,6,1,"","","No Climb","Not at all","",5,""
55,7034,"Y","Y","N","","","",2,"","","","","N","","","",4,1,"","",2,"Deep Climb","Not at all","",4,""
55,2522,"Y","Y","N","","","",1,"","",1,"","Y","","","",5,6,4,1,1,"Deep Climb","Not at all","",4,""
50,2412,"Y","Y","N","","","",1,"","","","","Y","","","",4,5,2,2,1,"Deep Climb","Not at all","",4,""
49,4131,"Y","Y","N","","","","","","",1,"","N","",5,"","","","","","","No Climb","Not at all","Major Break",2,""
49,955,"Y","Y","N","","","",3,"","","","","N","","","",3,5,6,"",1,"No Climb","Not at all","",5,""
49,997,"Y","Y","N","","","",0,"","","","","N","","","",2,5,4,"",1,"No Climb","Not at all","",5,""
49,3636,"Y","N","N","","","","","","","","","Y","","",2,6,6,1,"","","No Climb","Not at all","",4,""
48,1778,"Y","Y","N","","","",2,"","","","","Y","",0,2,4,7,6,5,2,"No Climb","Not at all","",4,""
48,9446,"Y","Y","N","","","","","","","","","N","","","","",3,2,"","","No Climb","Not at all","",3,""
48,10079,"Y","Y","N","","","",3,"","","","","Y","","","",3,4,2,"",6,"No Climb","Not at all","",4,""
47,10416,"Y","Y","N","","","",1,"","","","","Y","","","","",3,"","","","No Climb","Not at all","",1,""
47,2930,"Y","Y","N","","","",3,"","","","","N","",2,"",4,3,3,3,"","No Climb","Not at all","",3,""
47,2976,"Y","Y","N","","","","","","",1,2,"Y","","","",1,"",1,1,5,"No Climb","Not at all","",3,""
47,4469,"Y","Y","N","","","",1,"","","","","Y",1,"",1,1,6,1,1,"","No Climb","Not at all","",4,""
46,2522,"Y","Y","N","","","",3,"","","","","Y","","","",3,4,5,4,1,"Deep Climb","Not at all","",5,""
46,7034,"Y","Y","N","","","",3,"","","","","Y","","","",3,2,2,1,1,"Deep Climb","Not at all","",4,""
46,360,"Y","Y","N","","","",1,"","","",2,"Y","",3,"",1,2,1,"",5,"No Climb","Not at all","",3,""
46,2471,"Y","Y","N","","","","","","","","","Y",1,2,1,"",3,1,3,4,"Deep Climb","Not at all","Minor Break",4,""
45,957,"Y","Y","N","","","",2,"","",1,"","N","","","",6,2,3,"",1,"Deep Climb","Not at all","",5,""
50,492,"Y","N","N","","","","","","","",2,"N","","","",5,2,"","",2,"No Climb","Not at all","",3,""
67,6443,"Y","Y","N","","","",1,"","","","","N","","","",2,3,2,"","","No Climb","Not at all","",4,""
50,4512,"Y","Y","N","","","",3,"","","","","Y","","",1,4,3,1,"",0,"No Climb","Not at all","",4,""
51,4450,"Y","Y","Y","","",2,1,"","","","","Y",1,"",2,1,1,1,"","","Deep Climb","Not at all","Minor Break",3,""
55,4131,"Y","N","N","","","","","","","",1,"N","",6,"","",0,"","","","No Climb","Not at all","",4,""
55,6696,"Y","N","N","","","",2,"","","","","Y","",0,3,3,6,1,"","","No Climb","Not at all","",4,""
54,1318,"Y","Y","N","","","",1,"","","","","Y","","",3,"",3,1,5,"","Deep Climb","Not at all","",5,""
54,4043,"Y","Y","N","","","",1,"","","","","Y","","","",1,6,1,1,"","No Climb","Not at all","",4,""
54,2930,"Y","Y","N","","","",3,"","","","","N",2,2,"",4,3,4,"","","Deep Climb","Not at all","",4,""
54,1778,"Y","N","N","","","",2,"","","","","N",1,"",2,"",3,3,1,"","No Climb","Not at all","",4,""
53,3674,"Y","Y","N","","","",0,"","",0,2,"Y","","","",6,2,2,1,1,"Deep Climb","Not at all","",4,""
53,4915,"Y","Y","N","","","",3,"","","","","Y","","","",4,5,4,1,1,"No Climb","Not at all","",5,""
53,9036,"Y","Y","N","","","","","","",1,"","N","","","",3,"",5,"",2,"No Climb","Not at all","",4,""
53,2471,"Y","Y","Y","","","","",2,"","","","Y","","",1,"",3,1,1,3,"No Climb","Not at all","",4,""
52,4513,"Y","Y","N","","","",1,"","",1,1,"Y","","","",1,4,5,2,"","Deep Climb","Not at all","",4,""
52,5468,"Y","Y","N","","","",1,"","","","","Y","","","",6,6,1,"",1,"Deep Climb","Not at all","",4,""
52,6343,"Y","N","N","","","","","","","",1,"N","","","",2,"","",3,3,"Deep Climb","Not at all","",3,""
52,3826,"Y","Y","N","","","","","","",1,"","N",1,7,"","","","","",0,"No Climb","Not at all","",3,""
51,2910,"Y","Y","Y","","","",2,1,"","",1,"Y","",2,4,7,6,4,"","","Deep Climb","Not at all","",5,""
51,2557,"Y","Y","Y",2,"","","","","","","","Y",2,2,4,"","","",4,1,"Deep Climb","Not at all","",5,""
51,4061,"Y","N","N","","","","",3,"","","","N","","","","",3,1,4,1,"No Climb","Not at all","",3,""
50,9450,"Y","Y","N","","","",1,1,"",1,1,"Y","","",4,1,3,3,3,"","Deep Climb","Not at all","",4,""
45,1540,"Y","Y","N","","","",2,"","","",1,"Y","","",1,1,7,1,5,3,"Deep Climb","Not at all","",4,""
67,2930,"Y","Y","N","","","",2,"","","",1,"Y","","","",5,5,5,"",3,"Deep Climb","Not at all","",4,""
68,4125,"Y","Y","N","","","","","","",1,"","Y","",7,"","","","","","","No Climb","Not at all","",5,""
84,4469,"Y","Y","N","","","",1,"","","","","Y","","",2,3,4,5,"","","No Climb","Not at all","",5,""
84,1540,"Y","Y","N","","","",2,"","","","","Y","","",2,4,2,4,"",3,"Deep Climb","Not at all","",5,""
84,2471,"Y","Y","N","","","","","","","",1,"Y","",2,"","",7,4,"","","Deep Climb","Not at all","",5,""
83,9567,"Y","Y","Y","","","","","","",1,"","Y","",5,"","","","","","","No Climb","Not at all","",4,""
83,4450,"Y","Y","Y","",0,1,1,"","","","","Y",1,2,"",1,3,"","",2,"No Climb","Not at all","",4,""
83,1318,"Y","Y","N","","","",2,"","","","","Y","","",1,3,4,4,"",1,"Deep Climb","Not at all","",5,""
83,7034,"Y","Y","N","","","",3,"","","","","Y","","","",4,5,2,"",1,"No Climb","Not at all","",4,""
84,3218,"Y","Y","Y","","","",1,"","","","","N","",2,"",4,3,1,"","","No Climb","Not at all","",4,""
82,6696,"Y","Y","N",1,"",1,"","","","","","Y",2,"",2,1,1,1,"","","No Climb","Not at all","Major Break",2,""
82,5937,"Y","Y","Y",2,"","","","","","","","Y","",2,6,"","","","","","No Climb","Not at all","",4,""
82,2046,"Y","Y","N","","","",3,"","","","","Y","",2,"",2,5,5,2,2,"Deep Climb","Not at all","",5,""
81,2910,"Y","Y","N","","","",3,"","","",1,"Y",1,"",4,7,4,2,6,2,"Deep Climb","Not at all","",5,""
81,10079,"Y","Y","N","","","",2,"","","","","N","",4,"","",1,5,1,"","No Climb","Not at all","",4,""
81,4131,"Y","Y","N","","","","","","",1,"","N","",1,"","","","","","","Deep Climb","Partially","",2,""
81,2976,"Y","Y","N","","","",1,"","","","","N","","","","",4,2,"",3,"No Climb","Not at all","",3,""
80,5468,"Y","Y","N","","","",3,"","","","","Y","","","",4,7,5,"","","Deep Climb","Not at all","",5,""
82,4043,"Y","Y","N","","","",2,"","","","","N","","","",3,6,3,"","","Deep Climb","Not at all","",4,""
85,3674,"Y","Y","N","","","",1,"","","",2,"N","","","",2,8,4,"",1,"Deep Climb","Not at all","",5,""
85,9446,"Y","N","N","","","","","","","","","Y","","","","","","","",3,"No Climb","Not at all","Major Break",2,""
85,957,"Y","Y","N","","","",1,"","","","","Y","","","",5,2,1,3,"","Deep Climb","Not at all","",5,""
69,1425,"Y","Y","N","","","",3,"","","","","Y","","","",3,5,3,1,"","Deep Climb","Not at all","",5,""
68,4125,"Y","Y","N","","","","","","",1,"","Y",1,7,"","","","","","","No Climb","Not at all","",4,""
67,3826,"Y","Y","N","","","","","","","","","Y",1,2,"","","","","","","Deep Climb","Partially","",3,""
66,6343,"Y","Y","N","","","",1,"","","","","N","","","",1,2,3,"",4,"No Climb","Not at all","",3,""
65,4131,"Y","Y","N","","","","","","",1,"","N","",4,"","","","","","","No Climb","Partially","Minor Break",1,""
64,1540,"Y","Y","N","","","","","","","",1,"Y",1,"",2,2,5,3,1,1,"Deep Climb","Not at all","",5,""
63,3574,"Y","Y","N","","","","","","","","","Y","","","","",1,"",2,"","Deep Climb","Not at all","",2,""
39,1540,"Y","Y","N","","","",1,"","","","","Y","",2,"",1,6,5,"",2,"Deep Climb","Not at all","",5,""
38,10079,"Y","Y","N","","","",1,"","","","","N","","","","","","","","","No Climb","Partially","Minor Break",2,""
37,6696,"Y","Y","Y","","",1,1,"","","","","Y","","",1,3,3,4,"",3,"No Climb","Not at all","",4,""
36,4512,"Y","Y","N","","","",2,"","","","","N","","","",2,3,2,"",1,"No Climb","Not at all","",2,""
35,2557,"Y","Y","Y",1,0,0,"","","","",1,"Y",1,"",4,"","","",10,"","No Climb","Not at all","",5,""
34,2412,"Y","Y","N","","","",2,"","","","","Y","",1,"",2,4,3,"","","No Climb","Not at all","",4,""
33,6443,"Y","Y","N","","","","","","","",1,"Y",1,"","",1,"",1,"","","Deep Climb","Not at all","",4,""
32,2522,"Y","Y","N","","","",2,"","","","","Y","","","","",4,4,3,1,"Deep Climb","Not at all","Minor Break",2,""
31,957,"Y","N","N","","","",3,"","","","","Y","","","",3,4,4,3,"","Deep Climb","Not at all","",5,""
85,360,"Y","Y","N","","","",1,"","","","","N",1,4,2,2,"","","",3,"Deep Climb","Not at all","",5,""
80,9446,"Y","Y","N","","","","","","","","","N","","","",3,1,"","",4,"No Climb","Not at all","",2,""
80,492,"Y","Y","N","","","","","","","",1,"N","","","","","","",4,1,"No Climb","Not at all","",2,""
79,3674,"Y","Y","N","","","",2,"","","",1,"N","","","",10,2,"","",1,"Deep Climb","Not at all","",4,""
79,2557,"Y","Y","Y",1,"",1,"","","","","","N",1,2,3,"","","",4,1,"Deep Climb","Not at all","",4,""
74,2471,"Y","N","N","","","","",1,"","","","Y","",0,"",1,4,4,0,3,"Deep Climb","Not at all","",4,""
73,2522,"Y","N","N","","","",3,"","","","","Y","","","",2,4,6,4,2,"No Climb","Not at all","",5,""
73,1318,"Y","Y","N","","","",1,"","","","","Y","","",2,2,5,2,1,0,"Deep Climb","Not at all","",5,""
73,4915,"Y","N","N","","","",1,"","","","","N","","","",1,"",1,6,3,"No Climb","Not at all","",2,""
72,3574,"Y","Y","N","","","","","","","","","N","","","","","","",1,"","Deep Climb","Entire match","",2,""
72,6831,"Y","Y","Y","","","","",1,"","","","Y","","","","",1,"",1,3,"No Climb","Not at all","",2,""
72,948,"Y","Y","N","","","",1,"","","",1,"Y","","","",4,2,2,"",3,"Deep Climb","Not at all","",4,""
72,9023,"Y","Y","N","","","",3,"","","","","Y","",2,"",4,8,5,"","","No Climb","Not at all","",4,""
71,2147,"Y","Y","Y","","",1,1,"","","","","Y","",1,"",3,2,1,1,1,"Deep Climb","Not at all","",4,""
71,955,"Y","Y","N","","","",3,"","","","","N","","","","",4,6,1,"","No Climb","Not at all","",3,""
70,3218,"Y","Y","Y","","","",1,"","","","","N","",3,"",3,4,4,"","","No Climb","Not at all","",5,""
70,5468,"Y","Y","Y","","","",3,"","","","","Y","","","",5,8,3,1,"","Deep Climb","Not at all","",4,""
70,4131,"Y","N","N","","","","","","","","","N","",8,"","","","","","","Deep Climb","Not at all","",3,""
69,7034,"Y","Y","N","","","",3,"","","","","N","","","",5,6,2,"","","No Climb","Not at all","",5,""
69,1425,"Y","Y","N","","","",3,"","","","","N","","","",2,4,4,1,"","Deep Climb","Not at all","",5,""
69,9446,"Y","Y","N","","","","","","","","","Y","",2,"",1,"",3,"",1,"No Climb","Not at all","",4,""
68,3663,"Y","Y","N","","","",2,"","","",1,"Y","",1,"",2,5,4,"",2,"Deep Climb","Not at all","",4,""
74,4043,"Y","Y","N","","","","","","","",1,"N","","","","","","","","","Deep Climb","Entire match","",2,""
68,9036,"Y","Y","N","","","","","","","","","N","","","",4,2,4,"",1,"No Climb","Not at all","",4,""
74,2976,"Y","Y","N","","","",1,"","","",1,"N","","","",3,"",0,1,3,"No Climb","Not at all","",2,""
75,6696,"Y","Y","N","","","",1,"","","","","Y","","",2,4,5,4,2,2,"No Climb","Not at all","",4,""
79,2930,"Y","Y","N","","","",3,"","","","","N","","","",4,4,3,"",2,"No Climb","Not at all","",5,""
79,6831,"Y","Y","N","","","","","",1,1,"","Y","","","","",5,4,"","","No Climb","Not at all","",3,""
78,3663,"Y","Y","N","","","",3,"","","","","Y","",1,"",7,5,4,0,0,"No Climb","Not at all","",5,""
78,4061,"Y","Y","Y","","","","",2,"","",1,"N","","","","",7,6,"",1,"No Climb","Not at all","",5,""
78,4469,"Y","Y","N","","","",1,"","","","","Y","","",1,"",7,5,"","","No Climb","Not at all","",5,""
78,10416,"Y","Y","N","","","",1,"","","","","Y","","","",2,1,3,2,1,"No Climb","Not at all","",4,""
77,1778,"Y","Y","N","","","",1,"","","","","Y","","",3,3,7,4,5,1,"No Climb","Not at all","",5,""
77,955,"Y","Y","N","","","",2,"","","",1,"N","","","",5,1,"","","","No Climb","Partially","",2,""
77,9023,"Y","Y","N","","","",2,"","","","","Y","","","",4,5,8,3,1,"No Climb","Not at all","",5,""
77,4125,"Y","Y","N","","","","","","","",1,"N","","","","","","","","","No Climb","Entire match","",4,""
76,3218,"Y","Y","N","","","",1,"","","","","Y","","","",2,4,1,0,1,"Deep Climb","Not at all","",4,""
76,2147,"Y","Y","Y","","",1,0,"","","","","Y","","",4,"",3,2,"","","Deep Climb","Not at all","",5,""
76,9450,"Y","Y","Y","","","",2,"","","",1,"Y","","",2,3,4,3,3,"","Deep Climb","Not at all","",5,""
76,957,"Y","Y","N","","","",2,"","","","","N","","","",5,"","","",2,"Deep Climb","Not at all","",4,""
75,5937,"Y","Y","Y","","",1,1,"","","","","Y","",2,9,"","","","","","No Climb","Not at all","",4,""
75,9442,"Y","Y","N","","","",2,"","","","","N","","","",5,6,8,"","","No Climb","Not at all","",4,""
75,1540,"Y","Y","N","","","",3,"","","","","Y","",2,"",2,6,4,1,"","Deep Climb","Not at all","",5,""
74,9567,"Y","Y","N","","","","","","",1,"","N","",4,"","","","",2,"","Shallow Climb","Not at all","",4,""
70,3218,"Y","Y","Y","","","",1,"","","","","N","",1,"",2,4,5,"",1,"No Climb","Not at all","",4,""
45,4061,"Y","Y","N","","","","",1,"","",0,"N","","","","",0,3,1,2,"No Climb","Not at all","",2,""
44,488,"Y","Y","N","","","",2,"","","","","Y",1,"",0,3,1,"",1,1,"No Climb","Not at all","",4,""
17,6831,"Y","Y","N","","","","","","",2,"","Y","","","","",4,1,"",1,"No Climb","Not at all","",3,""
17,4512,"Y","Y","Y","","",1,1,"","","","","N",1,0,0,4,3,4,"","","No Climb","Not at all","",5,""
17,4043,"Y","Y","N","","","",2,"","","","","Y","","","",1,4,2,0,3,"Deep Climb","Not at all","",4,""
16,997,"Y","Y","N","","","","","","","","","N","","","",1,"",4,"","","No Climb","Not at all","",2,""
16,4915,"Y","Y","N","","","",2,"","","","","Y","","","",2,7,3,2,1,"No Climb","Not at all","",5,""
16,6696,"Y","Y","Y","","","",1,"","","","","Y","",0,1,2,3,4,1,1,"No Climb","Not at all","",4,""
16,9450,"Y","Y","Y","","","",1,"","","","","Y","","",3,3,2,"",3,"","Deep Climb","Not at all","",4,""
17,360,"Y","Y","Y","","","",1,"","","","","Y","","","",2,2,4,0,1,"No Climb","Not at all","",3,""
15,2522,"Y","Y","N","","","",3,"","","","","Y","","","",2,5,3,"",3,"Deep Climb","Not at all","",5,""
15,3636,"Y","Y","N","","","","","","","","","N","","","",7,4,"","","","No Climb","Not at all","",4,""
14,4125,"Y","Y","N","","","","","","","","","N","","","","","","","","","No Climb","Entire match","",2,""
14,957,"Y","Y","N","","","",1,"","","",1,"Y","","","",3,3,1,1,2,"Deep Climb","Not at all","",3,""
14,4469,"Y","Y","N","","","",1,"","","",1,"Y","","","",5,3,3,0,1,"No Climb","Not at all","",4,""
13,2147,"Y","Y","N","","","",1,"","","","","Y","",1,2,2,3,"","","","No Climb","Not at all","",4,""
13,2976,"Y","Y","N","","","","","","","","","Y","","","","","","","","","No Climb","Entire match","",1,""
13,1318,"Y","Y","N","","","",2,"","","","","N","","","",3,2,3,5,"","Deep Climb","Not at all","",4,""
15,1778,"Y","Y","N","","","",3,"","","","","Y","",2,1,4,6,7,3,1,"No Climb","Not at all","",5,""
18,488,"Y","Y","N","","","",2,"","","","","Y","",1,0,3,5,2,1,1,"No Climb","Not at all","",4,""
18,2976,"Y","Y","N","","","","","","","",2,"N","","","","","","","","","No Climb","Entire match","",2,""
18,9036,"Y","Y","N","","","","","","",1,"","Y","","","",3,4,2,1,"","No Climb","Not at all","",4,""
22,997,"Y","Y","N","","","",1,"","","","","Y","","",0,"","",1,"",2,"No Climb","Partially","",2,""
22,4450,"Y","Y","Y","",0,1,1,"","","","","Y","",2,"","",2,2,"",1,"No Climb","Not at all","",3,""
22,4915,"Y","Y","N","","","",1,"","","","","Y","","","",4,4,5,"",1,"No Climb","Not at all","",3,""
22,2147,"Y","Y","Y","","","",1,"","","","","Y","",2,"","",3,"","",3,"No Climb","Not at all","",2,""
21,3218,"Y","Y","Y","","","",0,"",0,"","","N","","","",3,"",1,"","","No Climb","Not at all","",3,""
21,2930,"Y","Y","N","","","",2,"","","","","N","","","",2,3,4,4,"","Deep Climb","Not at all","",4,""
21,3636,"Y","N","N","","",0,2,"","","","","Y",0,"",1,8,"",2,2,2,"No Climb","Not at all","",4,""
21,492,"Y","Y","N",0,"",0,1,"","","","","N","","","",3,5,4,3,"","Deep Climb","Not at all","Minor Break",4,""
20,2557,"Y","Y","N","","","","","","",2,"","Y",2,0,3,2,"","",4,"","Deep Climb","Not at all","",3,""
20,5937,"Y","N","N","","","","","","","",1,"Y",2,"",5,"","","","","","Deep Climb","Not at all","",4,""
20,9023,"Y","Y","N","","","",3,"","","","","Y","","","",3,5,5,"",1,"No Climb","Not at all","",4,""
20,10079,"Y","Y","N","","","",3,"","","","","N","","","",5,5,"","",3,"No Climb","Not at all","",3,""
19,2046,"Y","Y","N","","","",3,"","","","","N",1,1,1,"",2,4,3,4,"Deep Climb","Not at all","",3,""
19,7034,"Y","Y","N","","",0,2,0,0,0,"","N","","","",5,3,3,"","","No Climb","Not at all","",3,""
19,948,"Y","Y","N","","","",1,"","","","","N","","","",3,"",3,5,"","Deep Climb","Not at all","",5,""
19,6343,"Y","Y","N","","","",1,"","","","","Y","","","",1,3,3,1,2,"Deep Climb","Not at all","",4,""
18,9446,"Y","Y","N","","","","","","","","","N","","","",2,"",3,1,"","No Climb","Not at all","",3,""
12,10416,"Y","Y","N","","","","",0,"",1,1,"Y","","","",1,4,"","","","No Climb","Not at all","",4,""
12,6343,"Y","Y","N","","","",2,"","","","","Y","","","",4,4,2,"","","No Climb","Not at all","",4,""
12,10079,"Y","Y","N","","","",1,"","",0,0,"Y","","","",1,"",4,2,3,"No Climb","Not at all","",2,""
11,9036,"Y","Y","N","","","","","","",1,"","N","","","",2,6,"",2,1,"No Climb","Not at all","",4,""
5,2471,"Y","Y","Y","","","","","","","",1,"Y",1,0,4,"",4,"",1,"","No Climb","Not at all","",4,""
5,4513,"Y","N","N","","","",2,0,"","",1,"N","","","",3,"",1,2,1,"No Climb","Not at all","",3,""
4,9446,"Y","Y","N","","","","","","","","","N","","","","","","","","","No Climb","Partially","",3,""
4,4131,"Y","Y","N","","","","","","","","","N","",7,"","","","","","","Deep Climb","Not at all","",5,""
4,6696,"Y","Y","N","","","",1,"",0,"",1,"Y",1,"",2,6,"","","","","No Climb","Not at all","",4,""
4,9023,"Y","N","N","","","",1,"","","",1,"N","","","",3,5,3,0,"","No Climb","Not at all","",4,""
3,3674,"Y","Y","N","","","",0,"","","","","N","","","",4,5,3,"",2,"Deep Climb","Not at all","",4,""
3,997,"Y","Y","N","","","","","","","","","N","","","",1,2,4,"",1,"No Climb","Not at all","",3,""
3,7034,"Y","N","N",0,"","",1,"","","",1,"Y","","",0,6,2,3,"","","No Climb","Not at all","",3,""
3,9450,"Y","N","N","","","",2,0,"","",1,"Y","","",4,5,2,"","","","Deep Climb","Not at all","",4,""
2,948,"Y","Y","N","","","","","","","","","Y","","","",2,2,"",5,"","No Climb","Not at all","",3,""
2,9442,"Y","Y","N","","","",1,"","","",2,"Y","","","",5,6,8,"","","No Climb","Not at all","",4,""
2,5468,"Y","Y","N","","","",3,"","","","","Y","",0,"",3,7,4,"",1,"Deep Climb","Not at all","",4,""
2,4043,"Y","N","N","","","",2,"","","","","Y","","","",2,"",4,"","","Deep Climb","Not at all","",3,""
1,1778,"Y","Y","N","","","",2,"","","","","Y","","",3,5,3,3,7,"","No Climb","Not at all","",5,""
1,6831,"Y","Y","N","","","","","",1,"","","Y","","","","",4,"",1,1,"No Climb","Not at all","",3,""
1,2910,"Y","N","N","","","",2,2,"","","","Y","",2,"",3,4,3,2,1,"Deep Climb","Not at all","",4,""
5,5937,"Y","Y","Y","","",1,"","","","","","N",2,2,5,"","","","","","No Climb","Not at all","",5,""
23,3826,"Y","Y","N","","","","","","",1,"","N","","","","","","","","","No Climb","Entire match","",4,""
5,4061,"Y","Y","N","","","","",0,0,0,0,"N","","","",0,6,2,2,4,"No Climb","Not at all","",4,""
6,9036,"Y","Y","N","","","","","","",1,"","Y","","","",6,2,2,"","","No Climb","Not at all","",4,""
11,3218,"Y","Y","Y","","","",2,"","","","","Y","","","",4,1,2,"",2,"Deep Climb","Not at all","",4,""
11,6831,"Y","Y","N","","","","","",1,1,"","Y","","","","",3,"",2,4,"No Climb","Not at all","",4,""
10,3663,"Y","Y","N","","","",3,"","","","","Y",3,"",7,1,1,4,0,"","No Climb","Not at all","",4,""
10,1425,"Y","Y","N","","","",1,"","","",1,"N","","","","",3,3,6,"","Deep Climb","Not at all","",5,""
10,9446,"Y","N","N","","","","","","","","","N","","","",5,1,"","",3,"No Climb","Not at all","",4,""
9,4512,"Y","Y","N","","","",3,"","","","","Y","","","",4,6,3,"","","No Climb","Not at all","",4,""
9,5468,"Y","N","Y",1,"","",2,"","","","","N","","","",4,6,6,"","","Deep Climb","Not at all","",5,""
9,4131,"Y","Y","N","","","","","","","",1,"N","",4,"","","","","","","No Climb","Not at all","",3,""
8,492,"Y","Y","N","","","","","","","",1,"N","","","",2,3,2,"",1,"Deep Climb","Not at all","",4,""
8,4915,"Y","Y","N","","","",2,0,"","","","N","","","",3,5,3,"",2,"Deep Climb","Not at all","",3,""
8,955,"Y","Y","N","","","",1,"","","",1,"N","","","",1,"","","","","No Climb","Not at all","Minor Break",2,""
7,3574,"Y","Y","N","","","","","","","","","Y","","","","","",6,2,1,"Deep Climb","Not at all","",3,""
