"Team Number","Match Number","Leave","Auto Algae Scored","Auto L1 Coral","Auto L2L3 Coral","Auto L4 Coral","Algae Scored","L1 Coral","L2L3 Coral","L4 Coral","Climb Status","Algae Scoring","Did this team remove algae?","Did any issues seem to occur during this match?",""
9036,47,"Y",0,"",1,1,"","",1,"","No Climb","No algae scored","Y","Other (explain in comments)",""
1899,45,"Y","","","","","","",1,4,"No Climb","No algae scored","N","",""
9442,44,"Y","","","",2,"","",6,4,"No Climb","No algae scored","Y","",""
492,43,"Y","","","","","","","",5,"No Climb","No algae scored","Y","",""
4980,42,"Y","","","","","","","","","Deep Climb","No algae scored","N","Other (explain in comments)",""
2412,41,"Y","","","",1,"","",4,2,"No Climb","No algae scored","Y","",""
488,47,"Y",1,"","","","","","",8,"No Climb","No algae scored","N","",""
1983,42,"Y","","","","","",1,3,"","No Climb","No algae scored","Y","",""
3070,41,"Y","","","","","","","",6,"No Climb","No algae scored","N","",""
488,41,"Y","","","",1,"",1,1,5,"No Climb","No algae scored","Y","",""
3070,41,"Y","","","","","",2,"",7,"No Climb","No algae scored","N","",""
8248,36,"N","","","","","","","","","No Climb","No algae scored","N","",""
492,35,"Y","","","",1,"","","",7,"","No algae scored","N","",""
1899,34,"Y","",0,"","","",1,"","","No Climb","No algae scored","N","",""
1294,33,"Y","","","","","","","","","No Climb","No algae scored","N","",""
9023,32,"Y","","","",1,"","",4,3,"Deep Climb","No algae scored","Y","",""
3268,31,"N","","","","","","","","","No Climb","No algae scored","N","Did not start/Missed match",""
1899,30,"Y","","","","","",2,1,1,"","No algae scored","N","",""
8248,29,"N","","","","","","","","","No Climb","No algae scored","N","",""
3049,28,"Y","","","","","","","","","","No algae scored","N","",""
4915,27,"Y","","","",1,"","","",7,"","No algae scored","Y","",""
9036,25,"Y","","","","","",3,"","","","No algae scored","Y","",""
10455,25,"Y","","","","","","","","","No Climb","No algae scored","N","Stuck game piece",""
2906,24,"Y","","","","","",4,"","","No Climb","No algae scored","N","",""
2928,35,"Y","","","","","","",1,"","No Climb","No algae scored","N","Emergency Stop , Auto Stop",""
3070,36,"Y","","","","","","","",5,"No Climb","No algae scored","N","",""
3070,35,"Y","","","","","",1,"",5,"No Climb","No algae scored","Y","",""
4180,35,"Y","","","","","","","","","No Climb","No algae scored","Y","",""
949,35,"Y","","","","","","","","","No Climb","No algae scored","N","Stuck game piece",""
492,35,"Y","","","",1,"","","",7,"No Climb","No algae scored","N","",""
4180,35,"Y","","","","","","",0,"","No Climb","No algae scored","Y","Something broke , Other (explain in comments)",""
3268,35,"Y","","","","","","","","","No Climb","No algae scored","N","",""
488,34,"Y","","","",1,"","",8,4,"No Climb","No algae scored","Y","",""
984,34,"Y","","","","","","",4,"","Deep Climb","No algae scored","Y","",""
8032,34,"Y","","","","","","","","","No Climb","No algae scored","Y","",""
3588,34,"Y","","","","","","","","","No Climb","No algae scored","N","",""
9036,36,"Y","",1,"","","","",4,"","No Climb","No algae scored","Y","",""
4180,50,"Y","","","","","","","",6,"No Climb","No algae scored","N","",""
4918,36,"Y","","","","","","",2,"","No Climb","No algae scored","N","Auto missed",""
3219,36,"Y","","","","","","",5,"","Deep Climb","No algae scored","N","",""
2976,40,"Y","","","","",3,2,"",3,"No Climb","Only processor","N","",""
4918,40,"Y","","","","","",2,5,2,"No Climb","No algae scored","N","",""
4915,40,"Y","","","",1,"","",4,3,"No Climb","No algae scored","Y","",""
4915,40,"Y","","","",2,"","",4,3,"No Climb","Only net","Y","",""
2927,39,"Y","",1,"","","",2,"","","No Climb","No algae scored","N","",""
5827,39,"Y","","","",2,"",1,"",4,"Deep Climb","No algae scored","Y","",""
3219,39,"Y","","","","","","",1,"","No Climb","No algae scored","N","",""
2927,39,"Y","",1,"","","",4,"","","No Climb","No algae scored","N","",""
4980,38,"Y","","","","","",2,"",2,"Deep Climb","No algae scored","Y","",""
3268,38,"Y","","","","","","","","","No Climb","No algae scored","N","",""
3268,38,"Y","","","","","","","","","No Climb","No algae scored","N","",""
8032,38,"Y","","","","","",1,3,2,"No Climb","No algae scored","Y","",""
10455,38,"Y","","","","","",5,"","","No Climb","No algae scored","N","",""
1983,37,"Y","","","","","",0,3,"","No Climb","No algae scored","N","Auto missed",""
948,37,"N","","","",1,"","",2,3,"Deep Climb","No algae scored","Y","",""
9442,37,"Y","","","",2,"",3,1,5,"No Climb","No algae scored","Y","",""
9442,37,"N","","","",2,"",1,1,6,"No Climb","No algae scored","Y","",""
9023,37,"Y","","","","","",0,4,4,"No Climb","No algae scored","Y","",""
9442,37,"Y","","","",2,"",1,1,6,"No Climb","No algae scored","Y","",""
2906,37,"Y","","","","","",5,"","","No Climb","No algae scored","N","",""
2976,33,"Y","","","","","","",1,2,"No Climb","No algae scored","N","",""
9442,32,"Y","","","",2,"",0,5,6,"No Climb","No algae scored","N","",""
492,31,"Y","","","","","","",2,5,"No Climb","No algae scored","N","",""
1294,30,"Y","","","","","","",1,"","No Climb","No algae scored","N","Something broke , Other (explain in comments)",""
10455,29,"Y",0,"","","","",3,"","","No Climb","No algae scored","N","",""
8248,36,"Y","","","","","","","","","No Climb","No algae scored","N","Auto Stop",""
488,34,"Y","","","",1,"","",8,4,"No Climb","No algae scored","Y","",""
3588,50,"Y","","","","","","","","","No Climb","No algae scored","N","",""
3588,50,"Y","","","","","","","","","No Climb","No algae scored","N","Other (explain in comments)",""
1294,59,"Y","","","","","","","","","No Climb","No algae scored","N","",""
8248,59,"Y","","","","","","","","","No Climb","No algae scored","N","Stuck game piece",""
9442,59,"Y","","","",1,"",2,3,2,"No Climb","No algae scored","N","",""
3070,58,"Y","","","","","",1,"",6,"No Climb","No algae scored","Y","",""
10455,59,"Y","","","","","",5,"","","No Climb","No algae scored","N","",""
9036,58,"N","","","","","",1,5,"","No Climb","No algae scored","N","",""
4180,58,"Y","","","","","",2,"",4,"No Climb","No algae scored","N","",""
9036,58,"Y","","","","","","",5,"","No Climb","No algae scored","N","",""
3219,57,"Y","","","","","","",3,"","Deep Climb","No algae scored","Y","",""
2928,57,"Y","","","","","","",2,"","No Climb","No algae scored","N","Auto Stop",""
4980,57,"Y","","","",0,"","","",1,"No Climb","No algae scored","N","",""
4915,59,"Y","",0,0,1,"","",1,1,"No Climb","No algae scored","N","Something broke , Stuck game piece",""
488,57,"N","","",0,1,"","",5,4,"No Climb","No algae scored","Y","",""
4980,57,"Y","","","","","",1,"",2,"No Climb","No algae scored","N","",""
8248,56,"N","","","",0,"","","","","No Climb","No algae scored","N","",""
9442,56,"Y","","","",2,"","",8,3,"No Climb","No algae scored","Y","",""
4915,56,"Y","","","",2,"","",4,6,"No Climb","No algae scored","Y","",""
8248,56,"Y","","","","","","","","","No Climb","No algae scored","N","",""
9442,56,"Y","","","",2,"",2,9,3,"No Climb","No algae scored","N","",""
3049,55,"Y","","","","","","","","","No Climb","No algae scored","N","Something broke",""
1983,55,"Y","","","","","","","","","No Climb","No algae scored","N","",""
3070,55,"Y","","","","","","","",8,"No Climb","No algae scored","N","Auto missed , Stuck game piece",""
3681,55,"Y","","","","","","","",2,"No Climb","No algae scored","Y","Auto missed",""
3681,55,"Y","","","","","","","",3,"Deep Climb","No algae scored","Y","Auto missed",""
9023,57,"Y",0,0,0,1,"",1,"",4,"No Climb","No algae scored","Y","",""
949,60,"Y","","","","",0,1,"","","No Climb","No algae scored","N","",""
3268,60,"Y","","","","","","","","","No Climb","No algae scored","N","",""
1899,59,"Y","",1,"","","","",1,4,"No Climb","No algae scored","Y","",""
1983,60,"Y","","","","","",1,1,"","","No algae scored","Y","",""
8032,59,"Y","",1,"","","",1,3,"","No Climb","No algae scored","N","",""
2976,58,"Y","","","","","","","",1,"","No algae scored","N","",""
948,57,"Y","","","","","",2,3,4,"Deep Climb","No algae scored","Y","",""
4915,56,"Y","","","",2,"","",4,6,"","No algae scored","Y","",""
492,55,"Y","","","",1,"","","",5,"","No algae scored","N","",""
2910,54,"N","","","",1,"",2,10,5,"Deep Climb","No algae scored","Y","",""
1899,53,"N","","","","","","","",4,"","No algae scored","N","",""
3049,52,"Y","","","","","","","","","No Climb","No algae scored","Y","",""
6350,51,"Y","","","","","","","","","No Climb","No algae scored","Y","",""
9023,62,"Y","","","",1,"","","",4,"No Climb","No algae scored","Y","Other (explain in comments)",""
3588,62,"Y","","","","","","","","","No Climb","No algae scored","N","",""
2412,60,"Y","","","",1,"","","",7,"No Climb","No algae scored","Y","Stuck game piece",""
1294,59,"Y","","","","","","","","","No Climb","No algae scored","N","",""
2976,58,"Y","","","","","",1,"",1,"No Climb","No algae scored","N","",""
6350,56,"Y","","","","","","",3,"","No Climb","No algae scored","N","",""
949,55,"N","","","","","","","","","No Climb","No algae scored","N","",""
2910,54,"Y","","","",1,"",2,8,5,"Deep Climb","No algae scored","Y","",""
2906,62,"N","","","","","",6,"","","No Climb","No algae scored","N","",""
3681,62,"Y","","","","","","",6,3,"No Climb","No algae scored","N","",""
3219,61,"Y","","",0,"","","",6,"","No Climb","No algae scored","N","",""
2910,61,"Y","","","",1,"",3,7,4,"Deep Climb","No algae scored","Y","",""
5827,61,"Y","","","",1,"","",2,5,"Deep Climb","No algae scored","Y","",""
2928,60,"Y","","","","","","",5,"","No Climb","No algae scored","Y","Auto Stop , Stuck game piece",""
2928,60,"Y","","","","","","",5,"","No Climb","No algae scored","Y","",""
3070,55,"N","","","","","","","",8,"No Climb","No algae scored","N","",""
3681,55,"Y","","","","","","","",3,"Deep Climb","No algae scored","N","",""
948,54,"Y","","","","","","",1,1,"No Climb","No algae scored","Y","",""
2976,54,"Y","","","",1,3,"","",1,"No Climb","Only processor","N","",""
4980,42,"Y","","","","","","","","","No Climb","No algae scored","N","",""
2412,41,"Y","","","",1,"","",4,2,"No Climb","No algae scored","Y","",""
1899,40,"N","","","","","","","","","No Climb","No algae scored","N","Did not start/Missed match",""
949,39,"Y","","","","","","","","","No Climb","No algae scored","N","Emergency Stop",""
4180,38,"Y","",1,"","","",0,"",3,"No Climb","No algae scored","N","",""
2412,37,"Y","","","",1,"","",1,4,"No Climb","No algae scored","N","",""
3049,36,"Y","","","","","","","",1,"No Climb","No algae scored","N","",""
4615,23,"Y","","","",1,"","","",9,"No Climb","No algae scored","Y","",""
4980,22,"Y","","","","","","","","","No Climb","No algae scored","Y","",""
4918,21,"Y","","",1,"","","",4,"","No Climb","No algae scored","N","Auto Stop",""
5827,20,"Y","","","",1,"","",3,2,"Deep Climb","No algae scored","Y","",""
949,19,"N","","","","","",2,"",0,"No Climb","No algae scored","N","Stuck game piece",""
492,18,"Y","","","","","","","",7,"No Climb","No algae scored","N","Auto missed",""
4180,17,"N","","","","","",1,1,"","No Climb","No algae scored","N","Auto missed",""
2927,6,"N","","","","","","","","","No Climb","No algae scored","N","Emergency Stop , Auto missed , Something broke , Other (explain in comments)",""
4918,5,"Y","","",0,"","","",2,"","No Climb","No algae scored","N","Auto Stop",""
3681,4,"Y","","","","","","","",5,"Deep Climb","No algae scored","N","Auto Stop , Auto missed",""
4980,3,"Y","","","","","","","","","No Climb","No algae scored","Y","Auto missed , Other (explain in comments)",""
2412,2,"Y","","","",1,"","",4,2,"No Climb","No algae scored","Y","Auto Stop",""
492,1,"Y","","","",0,"","","",6,"No Climb","No algae scored","N","",""
8032,47,"Y","","","","","",1,2,"","Deep Climb","No algae scored","Y","",""
3588,46,"Y","","","","","","","","","No Climb","No algae scored","N","",""
3219,43,"Y","","","","","","",0,"","No Climb","No algae scored","N","Stuck game piece",""
3049,42,"Y","","","","","","",1,1,"No Climb","No algae scored","N","",""
2906,50,"N","","","","","",5,"","","No Climb","No algae scored","N","Other (explain in comments)",""
8248,39,"Y","","","","","","","","","No Climb","No algae scored","N","",""
4180,50,"Y","","","","","","","",6,"No Climb","No algae scored","N","Auto Stop",""
2910,40,"Y","","","",2,"",4,6,5,"Deep Climb","No algae scored","Y","",""
10455,42,"Y","","","","","",6,"","","Deep Climb","No algae scored","N","",""
948,54,"Y","","","","","","",1,5,"Deep Climb","No algae scored","Y","Auto missed",""
2976,54,"Y","","","",1,"","","",1,"No Climb","No algae scored","N","",""
948,54,"N","","","",1,"",1,"",5,"Deep Climb","No algae scored","Y","",""
2412,53,"Y",0,1,"","","","",2,6,"No Climb","No algae scored","Y","Auto missed",""
5827,53,"Y","","","",0,"","","",4,"Deep Climb","No algae scored","N","",""
4918,53,"Y","","",0,"","","",5,0,"No Climb","No algae scored","Y","",""
9036,53,"Y","","","","","",3,2,1,"No Climb","No algae scored","Y","",""
5827,53,"Y","","","","","","","",3,"Deep Climb","No algae scored","Y","",""
1983,52,"Y","","","","","","","","","No Climb","No algae scored","N","Auto Stop",""
4915,52,"Y","","","",2,"","","",10,"No Climb","No algae scored","Y","",""
10455,52,"Y","","","","","",4,"","","No Climb","No algae scored","N","",""
4915,52,"Y","","","",2,"","","",10,"No Climb","No algae scored","Y","",""
1294,52,"Y","","","","","","","","","No Climb","No algae scored","N","Something broke",""
3268,51,"N","","","","","","","","","No Climb","No algae scored","N","Something broke",""
2928,51,"Y","","","","","","",2,"","No Climb","No algae scored","Y","",""
6350,51,"Y","","","","","","","","","No Climb","No algae scored","Y","Auto Stop",""
3268,51,"N","","","","","","","","","No Climb","No algae scored","N","",""
2412,50,"Y","",1,"","","","",3,8,"No Climb","No algae scored","N","",""
1899,49,"Y","",1,"","","",1,"",4,"No Climb","No algae scored","N","",""
3070,48,"Y","","","","","",2,4,1,"No Climb","No algae scored","N","",""
2928,47,"Y","","","","","","",1,"","","No algae scored","N","",""
3268,46,"Y","","","","","","","","","No Climb","No algae scored","N","",""
3070,45,"Y","","","","","",2,3,6,"","No algae scored","N","",""
4918,44,"Y","","","","","","","","","","No algae scored","N","",""
949,43,"Y","","","","","","","","","No Climb","No algae scored","N","",""
3588,41,"Y","","","","","","","","","No Climb","No algae scored","N","",""
5827,29,"Y","","","",1,"",1,"",7,"Deep Climb","No algae scored","N","",""
488,34,"Y","","","",1,"","",6,4,"No Climb","No algae scored","N","",""
8032,28,"N","","","","","","","","","No Climb","No algae scored","Y","",""
3070,13,"Y","","","","","","","",4,"No Climb","No algae scored","N","",""
8032,13,"Y","","","","","","",1,1,"Deep Climb","No algae scored","Y","",""
4180,12,"Y","","","","","","","","","No Climb","No algae scored","N","",""
2928,11,"Y","","","","","",0,2,"","No Climb","No algae scored","N","",""
9442,10,"Y","","","",2,"",1,3,7,"No Climb","No algae scored","Y","",""
6350,9,"Y","","","","","","","","","No Climb","No algae scored","N","",""
4180,8,"N","","","","","","",1,"","No Climb","No algae scored","N","",""
3219,7,"Y","","","","","",2,"","","Shallow Climb","No algae scored","N","",""
1983,6,"Y","",0,"","","",2,1,"","No Climb","No algae scored","N","",""
3049,5,"Y","","","","","","","","","No Climb","No algae scored","N","Something broke",""
3268,4,"Y","","","","","","","","","No Climb","No algae scored","N","Auto Stop , Stuck game piece",""
8032,13,"Y","",0,0,"","",1,1,"","Deep Climb","No algae scored","N","",""
2927,3,"N","","","","","","","","","No Climb","No algae scored","N","Did not start/Missed match",""
3219,1,"Y","","","","","","","","","Deep Climb","No algae scored","N","",""
4918,12,"Y","","","","","","",4,"","No Climb","No algae scored","Y","",""
1983,12,"N","","","","","","",1,"","No Climb","No algae scored","Y","Auto Stop",""
2412,11,"Y","",0,"",0,"",1,"",5,"No Climb","No algae scored","Y","Other (explain in comments)",""
3070,10,"Y","","","","","",1,8,"","No Climb","No algae scored","N","Auto Stop",""
8032,9,"Y","","","","","","","",0,"No Climb","No algae scored","N","Something broke , Other (explain in comments)",""
9023,12,"Y","","","",1,"","","",2,"No Climb","No algae scored","N","Stuck game piece",""
1294,12,"Y","","","","","",1,"","","No Climb","No algae scored","N","Auto missed , Stuck game piece",""
4180,12,"Y","","","","","","","","","No Climb","No algae scored","N","",""
488,12,"Y","","","","","","",6,5,"No Climb","No algae scored","Y","",""
9023,12,"Y","","","",1,"","","",1,"No Climb","No algae scored","Y","Stuck game piece",""
6350,2,"N","","","","","","","","","No Climb","No algae scored","N","Did not start/Missed match",""
8248,13,"N","","","","","","","","","No Climb","No algae scored","N","",""
3219,13,"Y","","","","","","","","","Deep Climb","No algae scored","N","",""
3219,13,"Y","","","","","","","","","Deep Climb","No algae scored","N","Something broke , Other (explain in comments)",""
2412,17,"Y","","","",1,"","",1,6,"No Climb","No algae scored","N","",""
948,17,"Y","","","","","",1,4,3,"Deep Climb","No algae scored","Y","",""
1899,16,"Y","","","","","","",1,4,"No Climb","No algae scored","N","",""
9023,16,"Y","","","","","","","",0,"No Climb","No algae scored","N","Something broke , Stuck game piece",""
9036,16,"Y","","",1,0,"",2,3,"","No Climb","No algae scored","Y","Other (explain in comments)",""
1899,16,"Y","","","","","","",1,4,"No Climb","No algae scored","N","",""
5827,16,"N","","","","","","","",6,"Deep Climb","No algae scored","Y","",""
9033,16,"Y","","","","","",1,3,"","No Climb","No algae scored","Y","Stuck game piece",""
3268,15,"N","","","","","","","","","No Climb","No algae scored","N","",""
4915,15,"Y","","","",2,"","","",5,"No Climb","No algae scored","Y","",""
4915,15,"Y","","","",2,"","","",5,"No Climb","No algae scored","Y","Other (explain in comments)",""
3268,15,"N","","","","","","","","","No Climb","No algae scored","Y","",""
3588,15,"N","","","","","","","","","No Climb","No algae scored","N","",""
3681,14,"Y","","","","","",0,5,2,"No Climb","No algae scored","Y","",""
4980,13,"Y","","","","","","","","","No Climb","No algae scored","N","Auto missed",""
3268,15,"Y","","","","","","","","","No Climb","No algae scored","N","",""
6350,15,"N",0,"","",0,"","","","","No Climb","No algae scored","N","",""
2927,15,"Y","","","","","","","","","No Climb","No algae scored","N","",""
10455,14,"Y","","","","","","","","","No Climb","No algae scored","N","Other (explain in comments)",""
2976,14,"Y",0,1,"",0,2,1,"",0,"No Climb","Only processor","N","",""
10455,14,"Y","","","","","","","","","No Climb","No algae scored","N","Something broke , Stuck game piece , Other (explain in comments)",""
949,14,"N","","","","","","","","","No Climb","No algae scored","N","",""
2096,14,"Y","","","","","",6,"","","No Climb","No algae scored","N","",""
10455,14,"Y","","","","","","","","","No Climb","No algae scored","N","Other (explain in comments)",""
3070,13,"Y","","","","","","","",4,"No Climb","No algae scored","N","Stuck game piece",""
2928,11,"Y","","","","","","",2,"","No Climb","No algae scored","N","",""
2910,11,"Y","",1,"",1,"",4,8,8,"Deep Climb","No algae scored","N","Auto missed",""
2906,11,"Y","","","","","",3,"",0,"No Climb","No algae scored","N","",""
3681,10,"Y","",0,0,0,"",1,3,1,"Deep Climb","No algae scored","N","",""
5827,5,"Y","","","",0,"","","",4,"No Climb","No algae scored","N","Stuck game piece",""
2910,7,"Y","","","",2,"",3,7,2,"No Climb","No algae scored","Y","Auto missed",""
1899,7,"Y","","","","","","","",1,"No Climb","No algae scored","Y","",""
2928,7,"Y","","","","","","","","","No Climb","No algae scored","N","",""
4980,7,"Y","","","","","","","","","No Climb","No algae scored","N","Stuck game piece",""
2976,6,"Y","","","","","","","",1,"No Climb","No algae scored","Y","",""
9036,6,"Y","","","","","",2,7,"","No Climb","No algae scored","Y","",""
2412,6,"Y","",1,"","","",1,2,5,"No Climb","No algae scored","Y","Auto missed",""
5827,5,"Y","","","","","","","",6,"No Climb","No algae scored","N","Auto missed , Stuck game piece",""
4915,5,"Y","","","",0,"","",1,6,"No Climb","No algae scored","Y","Auto missed",""
3049,5,"N","","","","","","","","","No Climb","No algae scored","N","",""
1294,4,"Y","","","","","",1,1,"","No Climb","No algae scored","N","",""
9442,3,"Y","","","",2,"","",5,9,"No Climb","No algae scored","Y","",""
3268,4,"N","","","","","","","","","No Climb","No algae scored","N","Auto missed , Something broke , Stuck game piece",""
9023,2,"Y","","","","","",1,"",4,"No Climb","No algae scored","N","Auto missed",""
4180,4,"Y","","","","","","","","","No Climb","No algae scored","N","Other (explain in comments)",""
8012,4,"Y","","","","","","","","","No Climb","No algae scored","N","",""
2928,3,"Y","","","","","","","","","No Climb","No algae scored","N","Other (explain in comments)",""
2910,2,"Y","","","",1,"",5,6,8,"No Climb","No algae scored","Y","",""
3070,3,"Y","","","","","",2,"",3,"No Climb","No algae scored","N","Other (explain in comments)",""
488,3,"Y","","","",1,0,1,7,2,"No Climb","No algae scored","Y","",""
6350,2,"N","","","","","","","","","No Climb","No algae scored","N","Did not start/Missed match , Auto missed",""
1899,1,"N","","","","",2,"","",2,"No Climb","Only processor","Y","Auto missed",""
1983,1,"Y",0,"","","","",1,3,"","No Climb","No algae scored","N","",""
2976,1,"Y","","","","","","","",1,"No Climb","No algae scored","N","",""
948,8,"N","","","","","","","",3,"No Climb","No algae scored","Y","",""
2412,17,"Y","","","",1,"","",1,6,"No Climb","No algae scored","N","",""
9023,8,"N","","","",1,"",0,4,3,"No Climb","No algae scored","N","",""
4915,8,"N","","","","","","","","","No Climb","No algae scored","N","Something broke , Other (explain in comments)",""
5827,9,"Y","","","",2,"","","",6,"Deep Climb","No algae scored","N","",""
2928,7,"Y","","","","","","","","","No Climb","No algae scored","N","",""
2976,6,"Y","","","","","","","",1,"No Climb","No algae scored","N","Other (explain in comments)",""
948,5,"Y","","","","","","","",8,"No Climb","No algae scored","N","",""
2906,4,"Y","","","","","","","","","No Climb","No algae scored","N","",""
488,3,"Y","","","",1,"",1,7,"","No Climb","No algae scored","N","",""
1983,1,"N","","","","","","",2,"","No Climb","No algae scored","N","",""
2910,11,"Y","",0,0,1,"",5,7,5,"Deep Climb","No algae scored","Y","",""
3049,11,"N","","","","","","","","","No Climb","No algae scored","N","",""
492,11,"N","","","","","",1,2,1,"No Climb","No algae scored","Y","",""
9023,8,"Y","","","",1,"",0,3,2,"No Climb","No algae scored","Y","",""
9036,10,"Y","","","","","","",3,"","No Climb","No algae scored","Y","",""
3268,10,"N","","","","","","","","","No Climb","No algae scored","N","Stuck game piece",""
9442,10,"Y","","","",2,"",2,4,6,"No Climb","No algae scored","Y","",""
3588,10,"N","","","","","","","","","No Climb","No algae scored","N","Other (explain in comments)",""
3268,10,"Y","","","","","","","","","No Climb","No algae scored","N","Did not start/Missed match , Something broke",""
3588,10,"N","","","","","","","","","No Climb","No algae scored","N","",""
4915,8,"N","","","","","","","","","No Climb","No algae scored","N","Auto Stop , Something broke",""
1294,7,"N","","","","","","","","","No Climb","No algae scored","Y","Auto missed",""
488,6,"Y","","","",1,"","",1,10,"No Climb","No algae scored","N","",""
949,5,"N","","","","","","","","","No Climb","No algae scored","N","Did not start/Missed match",""
6350,9,"Y","","","","","","","","","No Climb","No algae scored","N","",""
4918,9,"Y","","","","","",1,4,"","No Climb","No algae scored","N","",""
4918,9,"Y","","","","","",1,4,0,"No Climb","No algae scored","N","Other (explain in comments)",""
10455,8,"N","","","","","",1,"","","No Climb","No algae scored","N","",""
492,8,"Y","","","","","","",4,2,"No Climb","No algae scored","Y","",""
2412,17,"Y","","","",1,"","",1,6,"No Climb","No algae scored","N","",""
2412,17,"Y","","","",1,"","",1,6,"No Climb","No algae scored","N","Other (explain in comments)",""
3219,17,"Y","","","","","",1,"","","Deep Climb","No algae scored","N","",""
3070,30,"Y","","","","","","",3,"","No Climb","No algae scored","Y","",""
2412,30,"Y","","","","","",2,3,2,"No Climb","No algae scored","Y","",""
949,30,"Y","","","","","","","","","No Climb","No algae scored","N","Something broke",""
1294,30,"Y","","","","","",1,1,"","No Climb","No algae scored","N","Something broke",""
2976,29,"N","","","","","","","","","No Climb","No algae scored","N","Something broke , Other (explain in comments)",""
9442,29,"Y","","","",2,"","",4,8,"No Climb","No algae scored","Y","",""
9442,29,"N","","","",2,"","",3,8,"No Climb","No algae scored","Y","",""
10455,29,"N","",1,"","","",4,"","","No Climb","No algae scored","N","",""
5827,29,"Y","","","",1,"",2,"",6,"Deep Climb","No algae scored","Y","",""
3219,27,"Y","","","","","",0,1,"","No Climb","No algae scored","N","Auto missed",""
4980,16,"Y","","","",1,"","","","","No Climb","No algae scored","N","",""
3049,15,"N","","","","","","","","","No Climb","No algae scored","N","",""
